RegionName,NumValue,Time,CountryCode,Location
Canada,0.0,2019,CAN,"(49.1813403, -0.3635615)"
United States,0.0,2019,USA,"(39.7837304, -100.445882)"
Belize,3189.0,2019,BLZ,"(16.8259793, -88.7600927)"
Costa Rica,145.0,2019,CRI,"(19.7589517, 99.6734592)"
El Salvador,683.0,2019,SLV,"(37.26398255, -8.348731138182709)"
Guatemala,342.0,2019,GTM,"(51.34473215, 12.285764313430338)"
Honduras,219.0,2019,HND,"(22.3511148, 78.6677428)"
Mexico,9.0,2019,MEX,"(19.4839446, -99.6899716)"
Nicaragua,181.0,2019,NIC,"(40.9357176, 47.6645465)"
Panama,20.0,2019,PAN,"(35.4338536, 69.7930899)"
Colombia,535.0,2019,COL,"(50.938361, 6.959974)"
Ecuador,2.0,2019,ECU,"(52.5352133, 5.7102021)"
Peru,136.0,2019,PER,"(39.6370289, -82.2044367)"
Argentina,0.0,2019,ARG,"(31.1845678, -7.9196835)"
Brazil,178147.0,2019,BRA,"(44.6976778, 7.8542707)"
Chile,0.0,2019,CHL,"(-31.7613365, -71.3187697)"
Paraguay,52.0,2019,PRY,"(50.273814, 4.4326804)"
Uruguay,0.0,2019,URY,"(48.342555, 2.6048701)"
Cuba,0.0,2019,CUB,"(38.16521, -7.89253)"
Dominican Republic,,2019,DOM,"(46.1152451, 8.2920459)"
Puerto Rico,0.0,2019,PRI,"(45.0819456, 134.726645)"
Anguilla,0.0,2019,AIA,"(43.236547, -2.1486667)"
Antigua and Barbuda,,2019,ATG,"(14.6495224, 100.3170382)"
Aruba,,2019,ABW,"(11.129167, 42.919722)"
Bahamas,,2019,BHS,"(23.5225788, 77.8148001)"
Barbados,8.0,2019,BRB,"(38.8057942, -7.4542105)"
Bermuda,0.0,2019,BMU,"(-8.5379181, 118.6857460933394)"
Cayman Islands,,2019,CYM,"(-33.00910825, -60.75298283422084)"
Curaçao,,2019,CUW,
Dominica,,2019,DMA,"(32.17079565, -110.86990239630313)"
French Guiana,,2019,GUF,"(30.2891556, -87.66624770262722)"
Grenada,,2019,GRD,"(40.5378408, -7.2662964)"
Guadeloupe,,2019,GLP,"(17.1516758, 82.2904779)"
Guyana,,2019,GUY,"(29.3441332, -95.7830058)"
Haiti,8.0,2019,HTI,"(-20.3522845, 148.9480748)"
Jamaica,7.0,2019,JAM,"(22.4930279, 70.0535096)"
Martinique,,2019,MTQ,"(45.7984078, -74.01642739712129)"
Montserrat,,2019,MSR,"(26.2540493, 29.2675469)"
Saint Kitts and Nevis,,2019,KNA,"(-32.94919415, -71.47885980024215)"
Saint Lucia,0.0,2019,LCA,"(22.2967657, 104.0566164)"
Saint Vincent and the Grenadines,,2019,VCT,"(41.694867, -8.831088)"
Suriname,2.0,2019,SUR,"(3.48470445, -76.40282227396737)"
Trinidad and Tobago,,2019,TTO,"(45.81380745, -97.74395892099608)"
Turks and Caicos Islands,,2019,TCA,"(-19.6305093, 134.18226892859178)"
Canada,0.0,2020,CAN,"(49.1813403, -0.3635615)"
United States,0.0,2020,USA,"(39.7837304, -100.445882)"
Belize,1079.0,2020,BLZ,"(16.8259793, -88.7600927)"
Costa Rica,51.0,2020,CRI,"(19.7589517, 99.6734592)"
El Salvador,122.0,2020,SLV,"(37.26398255, -8.348731138182709)"
Guatemala,819.0,2020,GTM,"(51.34473215, 12.285764313430338)"
Honduras,55.0,2020,HND,"(22.3511148, 78.6677428)"
Mexico,7.0,2020,MEX,"(19.4839446, -99.6899716)"
Nicaragua,17.0,2020,NIC,"(40.9357176, 47.6645465)"
Panama,,2020,PAN,"(35.4338536, 69.7930899)"
Colombia,160.0,2020,COL,"(50.938361, 6.959974)"
Ecuador,1.0,2020,ECU,"(52.5352133, 5.7102021)"
Peru,138.0,2020,PER,"(39.6370289, -82.2044367)"
Argentina,0.0,2020,ARG,"(31.1845678, -7.9196835)"
Brazil,98177.0,2020,BRA,"(44.6976778, 7.8542707)"
Chile,0.0,2020,CHL,"(-31.7613365, -71.3187697)"
Paraguay,316.0,2020,PRY,"(50.273814, 4.4326804)"
Uruguay,0.0,2020,URY,"(48.342555, 2.6048701)"
Cuba,,2020,CUB,"(38.16521, -7.89253)"
Dominican Republic,,2020,DOM,"(46.1152451, 8.2920459)"
Puerto Rico,0.0,2020,PRI,"(45.0819456, 134.726645)"
Anguilla,,2020,AIA,"(43.236547, -2.1486667)"
Antigua and Barbuda,,2020,ATG,"(14.6495224, 100.3170382)"
Aruba,,2020,ABW,"(11.129167, 42.919722)"
Bahamas,,2020,BHS,"(23.5225788, 77.8148001)"
Barbados,101.0,2020,BRB,"(38.8057942, -7.4542105)"
Bermuda,,2020,BMU,"(-8.5379181, 118.6857460933394)"
Cayman Islands,0.0,2020,CYM,"(-33.00910825, -60.75298283422084)"
Curaçao,,2020,CUW,
Dominica,,2020,DMA,"(32.17079565, -110.86990239630313)"
French Guiana,,2020,GUF,"(30.2891556, -87.66624770262722)"
Grenada,,2020,GRD,"(40.5378408, -7.2662964)"
Guadeloupe,,2020,GLP,"(17.1516758, 82.2904779)"
Guyana,,2020,GUY,"(29.3441332, -95.7830058)"
Haiti,0.0,2020,HTI,"(-20.3522845, 148.9480748)"
Jamaica,0.0,2020,JAM,"(22.4930279, 70.0535096)"
Martinique,,2020,MTQ,"(45.7984078, -74.01642739712129)"
Montserrat,,2020,MSR,"(26.2540493, 29.2675469)"
Saint Kitts and Nevis,,2020,KNA,"(-32.94919415, -71.47885980024215)"
Saint Lucia,0.0,2020,LCA,"(22.2967657, 104.0566164)"
Saint Vincent and the Grenadines,,2020,VCT,"(41.694867, -8.831088)"
Suriname,0.0,2020,SUR,"(3.48470445, -76.40282227396737)"
Trinidad and Tobago,,2020,TTO,"(45.81380745, -97.74395892099608)"
Turks and Caicos Islands,,2020,TCA,"(-19.6305093, 134.18226892859178)"
Canada,0.0,2021,CAN,"(49.1813403, -0.3635615)"
United States,0.0,2021,USA,"(39.7837304, -100.445882)"
