Time,RegionName,NumValue,CountryCode,Location
2008,Austria,0.0,AUT,"(31.76597525, 77.16464583761046)"
2008,Belgium,0.0,BEL,"(40.0057737, -81.0097516)"
2008,Czechia,0.0,CZE,"(11.416022850000001, -69.68305768989657)"
2008,Germany,17.0,DEU,"(24.4275308, 81.1385248)"
2008,Estonia,0.0,EST,"(58.7523778, 25.3319078)"
2008,Greece,0.0,GRC,"(53.1958274, 6.5435306)"
2008,Spain,5.0,ESP,"(41.0083643, -8.6394111)"
2008,Finland,0.0,FIN,"(45.742876, 9.047639)"
2008,France,1.0,FRA,"(50.02294325, 8.524937254258731)"
2008,Hungary,0.0,HUN,"(28.9513171, 82.8347084)"
2008,Ireland,0.0,IRL,"(49.0032132, 12.1679199)"
2008,Italy,9.0,ITA,"(-23.2102123, -45.8764544)"
2008,Lithuania,0.0,LTU,"(42.6538104, 23.357835317483428)"
2008,Luxembourg,0.0,LUX,"(47.4910586, 5.2120304)"
2008,Latvia,0.0,LVA,"(48.0321305, -0.7432444592045966)"
2008,Malta,0.0,MLT,"(35.8885993, 14.4476911)"
2008,Poland,0.0,POL,"(49.8607809, 33.7498787)"
2008,Romania,0.0,ROU,"(50.4427818, 4.3948512)"
2008,Slovenia,0.0,SVN,"(32.009377400000005, -81.15073343830846)"
2008,Slovakia,0.0,SVK,"(51.1622725, 4.127375398394218)"
2008,United Kingdom,9.0,GBR,"(53.317942099999996, -60.46424991856307)"
2009,Austria,8.0,AUT,"(31.76597525, 77.16464583761046)"
2009,Belgium,6.0,BEL,"(40.0057737, -81.0097516)"
2009,Czechia,0.0,CZE,"(11.416022850000001, -69.68305768989657)"
2009,Germany,54.0,DEU,"(24.4275308, 81.1385248)"
2009,Estonia,0.0,EST,"(58.7523778, 25.3319078)"
2009,Greece,0.0,GRC,"(53.1958274, 6.5435306)"
2009,Spain,6.0,ESP,"(41.0083643, -8.6394111)"
2009,Finland,3.0,FIN,"(45.742876, 9.047639)"
2009,France,13.0,FRA,"(50.02294325, 8.524937254258731)"
2009,Hungary,0.0,HUN,"(28.9513171, 82.8347084)"
2009,Ireland,0.0,IRL,"(49.0032132, 12.1679199)"
2009,Italy,3.0,ITA,"(-23.2102123, -45.8764544)"
2009,Lithuania,0.0,LTU,"(42.6538104, 23.357835317483428)"
2009,Luxembourg,0.0,LUX,"(47.4910586, 5.2120304)"
2009,Latvia,0.0,LVA,"(48.0321305, -0.7432444592045966)"
2009,Malta,0.0,MLT,"(35.8885993, 14.4476911)"
2009,Poland,0.0,POL,"(49.8607809, 33.7498787)"
2009,Romania,0.0,ROU,"(50.4427818, 4.3948512)"
2009,Sweden,0.0,SWE,"(-0.2235496, -76.408253)"
2009,Slovenia,0.0,SVN,"(32.009377400000005, -81.15073343830846)"
2009,Slovakia,0.0,SVK,"(51.1622725, 4.127375398394218)"
2009,United Kingdom,56.0,GBR,"(53.317942099999996, -60.46424991856307)"
2010,Austria,2.0,AUT,"(31.76597525, 77.16464583761046)"
2010,Belgium,8.0,BEL,"(40.0057737, -81.0097516)"
2010,Czechia,0.0,CZE,"(11.416022850000001, -69.68305768989657)"
2010,Germany,37.0,DEU,"(24.4275308, 81.1385248)"
2010,Estonia,0.0,EST,"(58.7523778, 25.3319078)"
2010,Greece,0.0,GRC,"(53.1958274, 6.5435306)"
2010,Spain,0.0,ESP,"(41.0083643, -8.6394111)"
2010,Finland,1.0,FIN,"(45.742876, 9.047639)"
2010,France,44.0,FRA,"(50.02294325, 8.524937254258731)"
2010,Hungary,0.0,HUN,"(28.9513171, 82.8347084)"
2010,Ireland,1.0,IRL,"(49.0032132, 12.1679199)"
2010,Italy,7.0,ITA,"(-23.2102123, -45.8764544)"
2010,Lithuania,0.0,LTU,"(42.6538104, 23.357835317483428)"
2010,Luxembourg,0.0,LUX,"(47.4910586, 5.2120304)"
2010,Latvia,0.0,LVA,"(48.0321305, -0.7432444592045966)"
2010,Malta,0.0,MLT,"(35.8885993, 14.4476911)"
2010,Poland,0.0,POL,"(49.8607809, 33.7498787)"
2010,Romania,0.0,ROU,"(50.4427818, 4.3948512)"
2010,Sweden,0.0,SWE,"(-0.2235496, -76.408253)"
2010,Slovenia,0.0,SVN,"(32.009377400000005, -81.15073343830846)"
2010,Slovakia,0.0,SVK,"(51.1622725, 4.127375398394218)"
2010,United Kingdom,79.0,GBR,"(53.317942099999996, -60.46424991856307)"
2011,Austria,2.0,AUT,"(31.76597525, 77.16464583761046)"
2011,Belgium,8.0,BEL,"(40.0057737, -81.0097516)"
2011,Czechia,0.0,CZE,"(11.416022850000001, -69.68305768989657)"
2011,Germany,13.0,DEU,"(24.4275308, 81.1385248)"
2011,Estonia,0.0,EST,"(58.7523778, 25.3319078)"
2011,Greece,0.0,GRC,"(53.1958274, 6.5435306)"
2011,Spain,4.0,ESP,"(41.0083643, -8.6394111)"
2011,Finland,0.0,FIN,"(45.742876, 9.047639)"
2011,France,12.0,FRA,"(50.02294325, 8.524937254258731)"
2011,Hungary,0.0,HUN,"(28.9513171, 82.8347084)"
2011,Ireland,0.0,IRL,"(49.0032132, 12.1679199)"
2011,Italy,2.0,ITA,"(-23.2102123, -45.8764544)"
2011,Lithuania,0.0,LTU,"(42.6538104, 23.357835317483428)"
2011,Luxembourg,0.0,LUX,"(47.4910586, 5.2120304)"
2011,Latvia,0.0,LVA,"(48.0321305, -0.7432444592045966)"
2011,Malta,0.0,MLT,"(35.8885993, 14.4476911)"
2011,Poland,0.0,POL,"(49.8607809, 33.7498787)"
2011,Romania,0.0,ROU,"(50.4427818, 4.3948512)"
2011,Sweden,0.0,SWE,"(-0.2235496, -76.408253)"
2011,Slovenia,0.0,SVN,"(32.009377400000005, -81.15073343830846)"
2011,Slovakia,0.0,SVK,"(51.1622725, 4.127375398394218)"
2011,United Kingdom,14.0,GBR,"(53.317942099999996, -60.46424991856307)"
2012,Austria,0.0,AUT,"(31.76597525, 77.16464583761046)"
2012,Belgium,6.0,BEL,"(40.0057737, -81.0097516)"
2012,Czechia,0.0,CZE,"(11.416022850000001, -69.68305768989657)"
2012,Germany,9.0,DEU,"(24.4275308, 81.1385248)"
