"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Reported cases","N","2008","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","BE","Belgium",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","DE","Germany",17.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","ES","Spain",5.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","EU_EEA31","EU/EEA",41.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","EU28","EU",41.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","FR","France",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","IT","Italy",9.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2008","UK","United Kingdom",9.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","AT","Austria",8.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","BE","Belgium",6.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","DE","Germany",54.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","ES","Spain",6.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","EU_EEA31","EU/EEA",149.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","EU28","EU",149.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","FI","Finland",3.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","FR","France",13.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","IT","Italy",3.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","SE","Sweden",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2009","UK","United Kingdom",56.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","AT","Austria",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","BE","Belgium",8.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","DE","Germany",37.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","ES","Spain",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","EU_EEA31","EU/EEA",179.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","EU28","EU",179.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","FI","Finland",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","FR","France",44.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","IE","Ireland",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","IT","Italy",7.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","SE","Sweden",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2010","UK","United Kingdom",79.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","AT","Austria",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","BE","Belgium",8.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","DE","Germany",13.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","ES","Spain",4.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","EU_EEA31","EU/EEA",55.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","EU28","EU",55.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","FR","France",12.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","IT","Italy",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","SE","Sweden",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2011","UK","United Kingdom",14.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","BE","Belgium",6.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","DE","Germany",9.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","ES","Spain",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","EU_EEA31","EU/EEA",56.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","EU28","EU",56.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","FR","France",11.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","IT","Italy",5.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","SE","Sweden",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2012","UK","United Kingdom",21.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","BE","Belgium",7.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","DE","Germany",16.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","ES","Spain",2.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","EU_EEA31","EU/EEA",73.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","EU28","EU",73.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","FI","Finland",1.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","FR","France",12.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","IT","Italy",3.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Reported cases","N","2013","MT","Malta",0.000000000,""
